,Group.1,Quantile,X,folioviv,foliohog,ubica_geo,ageb,tam_loc,est_socio.x,upm,factor_hog,clase_hog,sexo_jefe.x,edad_jefe,educa_jefe.x,tot_integ.x,hombres,mujeres,mayores,menores,p12_64,p65mas,ing_cor,Energy2014,percep_tot,Quantile.1,Income2014,folioviv.1,foliohog.1,ubica_geo.1,ageb.1,tam_loc.1,est_socio.x.1,upm.1,Intercept,Elasticity_Income_Electricity,Coef_socio,Coef_sexo_jefe,Coef_educa_jefe,Coef_tot_members,Coef_educ_sex_jefe,Income2014,sexo_jefe.educa_jefe,Income2015,Income2016,Income2017,Income2018,Income2019,Income2020,Income2021,Income2022,Income2023,Income2024,Income2025,Income2026,Income2027,Income2028,Income2029,Income2030,Energy2015,Energy2016,Energy2017,Energy2018,Energy2019,Energy2020,Energy2021,Energy2022,Energy2023,Energy2024,Energy2025,Energy2026,Energy2027,Energy2028,Energy2029,Energy2030
1,1,1,7786.95,1440923947,1.1,140695156.8,NA,3.35,1.35,11099.5,1537.15,2.3,1.3,42.85,3.55,7.3,3.75,3.55,4.45,2.85,4.35,0.1,136.8026835,20.0596445,13.9622805,1,7786.95,1440923947,1.1,140695156.8,NA,3.35,1.35,11099.5,20.00244803,-2.724120319,0.357341128,0.332018518,0.382513984,0.128916544,0.128463359,3076.836,-0.080984254,7937.49725,8097.81659,8257.906886,8425.031058,8592.158725,8765.639631,8940.22367,9120.114427,9302.205827,9488.834669,9678.654571,9872.373682,10070.29359,10271.50126,10477.55471,10686.59815,18.97903095,17.92993426,16.960145,16.02879244,15.16143273,14.3304619,13.5533202,12.81234783,12.11613705,11.45493914,10.8314616,10.24123249,9.682956625,9.156007746,8.656489188,8.185732238
2,2,2,8712.75,1601260296,1,155116592.8,NA,3.9,1.1,12494.5,1957.3,2.15,1.15,39.7,3.55,6.2,3.1,3.1,3.75,2.45,3.7,0.05,184.829519,17.2121075,13.830544,2,8712.75,1601260296,1,155116592.8,NA,3.9,1.1,12494.5,32.13139816,-2.635980352,0.355789437,0.321752703,0.356361867,0.129320505,0.132215982,4054.287,-0.080716123,8879.217375,9059.155815,9237.539877,9425.239727,9611.685091,9806.375388,10001.40977,10203.06739,10406.6624,10615.67274,10828.05101,11044.83106,11266.43633,11491.46776,11722.23224,11955.9154,16.33627964,15.43621429,14.64067239,13.84990293,13.13508316,12.42979729,11.78389867,11.15600529,10.57265541,10.01244272,9.486201046,8.985816762,8.511276264,8.064149975,7.637224593,7.23689104
3,3,3,7968.736842,1470429743,1,142857914.5,NA,3.631578947,1.105263158,11447.89474,1734.684211,2.421052632,1.157894737,51.21052632,3,6.210526316,3.315789474,2.894736842,3.736842105,2.473684211,3.421052632,0.315789474,213.8922984,14.37363421,21.63693,3,7968.736842,1470429743,1,142857914.5,NA,3.631578947,1.105263158,11447.89474,37.98581753,-2.538775436,0.349791469,0.32964442,0.318828452,0.121458786,0.135541547,4806.718947,-0.076326995,8125.379079,8288.712658,8453.504787,8623.609638,8795.359223,8972.128371,9151.187384,9334.78286,9521.314892,9712.04894,9906.31266,10104.51577,10306.85473,10512.88751,10723.47338,10937.67566,13.64610925,12.95038342,12.29415848,11.66852699,11.07718057,10.51378659,9.980637931,9.473373596,8.992713594,8.535893902,8.102599491,7.69116532,7.300581785,6.930009787,6.578000873,6.244172417
4,4,4,7851.8,1450186711,1,140225029.7,NA,3.8,1.1,11116.5,1452.65,2.25,1.25,40.35,3.15,6.55,3.1,3.45,3.65,2.9,3.55,0.1,254.9253665,13.7977385,16.007026,4,7851.8,1450186711,1,140225029.7,NA,3.8,1.1,11116.5,41.24767057,-2.560660152,0.36191797,0.331823758,0.322663761,0.116762055,0.135259467,5529.2325,-0.077020098,8001.048375,8163.423435,8323.892849,8493.319759,8661.126723,8836.805854,9012.44884,9194.327243,9377.747455,9566.179492,9757.567895,9952.938283,10152.7057,10355.46252,10563.50689,10774.01555,13.11809149,12.41304291,11.79299727,11.17277189,10.61379232,10.05917762,9.552131997,9.057183252,8.597486556,8.154729407,7.738499109,7.341946042,6.965233971,6.60990547,6.26982914,5.950743107
5,5,5,6254.95,1189856165,1,113977123.2,NA,3.75,1.15,9068.5,1662.55,2.3,1.15,41.6,2.6,5.85,3.2,2.65,3.4,2.45,3.3,0.1,254.802205,20.6413725,10.958605,5,6254.95,1189856165,1,113977123.2,NA,3.75,1.15,9068.5,45.47714586,-2.593480669,0.370855181,0.321860025,0.347984007,0.114435569,0.139033302,5423.69,-0.075611993,6374.85725,6503.92379,6632.13623,6766.744989,6900.706935,7040.358804,7180.437227,7325.132255,7471.324012,7621.335217,7773.80513,7929.427253,8088.488233,8250.059799,8415.684413,8583.490446,19.7460627,18.50574201,17.64801726,16.62658375,15.85025098,14.95621238,14.23322867,13.45759138,12.78649033,12.10736455,11.48842663,10.89097533,10.3214913,9.795055553,9.276909681,8.808693534
6,6,6,8952.473684,1625691081,1.157894737,158505841.3,NA,3.842105263,1.210526316,12682.10526,1409.263158,2.157894737,1.105263158,48.47368421,3.157894737,5.842105263,3.052631579,2.789473684,3.526315789,2.315789474,3.157894737,0.368421053,260.9468437,19.95496632,22.63634947,6,8952.473684,1625691081,1.157894737,158505841.3,NA,3.842105263,1.210526316,12682.10526,48.44412832,-2.645033534,0.379145311,0.323387652,0.354372062,0.110680109,0.145437389,5787.412105,-0.074004375,9126.058158,9310.231316,9494.471693,9686.430638,9878.714036,10078.01224,10278.80538,10485.52494,10694.90819,10909.42186,11127.65578,11350.3626,11577.86715,11809.21586,12046.05641,12286.44316,18.96609267,17.88065171,16.97345933,16.03542571,15.21967752,14.38739563,13.64620577,12.91022724,12.23741103,11.58406302,10.97466561,10.39351596,9.841976224,9.324678047,8.827622346,8.365487707
7,7,7,10862.4,1934179335,1.05,189223022,NA,3.75,1.2,15307.5,1589.3,2.25,1.05,45.25,3.05,5.95,2.55,3.4,3.8,2.15,3.65,0.15,295.7620645,26.04791,6.280134,7,10862.4,1934179335,1.05,189223022,NA,3.75,1.2,15307.5,50.73757603,-2.741331924,0.388490984,0.324703458,0.37313847,0.120784905,0.155178133,6164.1265,-0.079242876,11074.45625,11297.51477,11521.59903,11753.99704,11987.70403,12229.09584,12472.94901,12723.49427,12977.65327,13237.79106,13502.59009,13772.78791,14048.7161,14329.49223,14616.70549,14908.53194,24.63504225,23.26567401,21.99888173,20.78366771,19.65152367,18.56797061,17.55443475,16.58881809,15.68158428,14.82047648,14.00868095,13.24050213,12.51418792,11.82882116,11.17944976,10.56759209
8,8,8,5661.4,1082115471,1,103378089.1,NA,3.65,1.2,8211.5,1487.5,2.35,1.2,42.7,3.75,5.7,2.85,2.85,3.3,2.4,3.05,0.25,287.336686,16.3903285,13.1343275,8,5661.4,1082115471,1,103378089.1,NA,3.65,1.2,8211.5,52.68525226,-2.684357092,0.376982044,0.329676119,0.391189587,0.127863388,0.154105611,6132.0615,-0.084255664,5766.840375,5884.531275,5999.422846,6122.360356,6242.748132,6370.05969,6496.367754,6627.924535,6760.016693,6896.094114,7034.08081,7174.981456,7319.189738,7465.276234,7615.516886,7767.065741,15.62881708,14.64383607,13.92678679,13.10745547,12.46181143,11.74440496,11.14933516,10.52573439,9.978646586,9.432323814,8.931963478,8.451402351,7.994641519,7.571339139,7.158206284,6.782442244
9,9,9,9334,1693423804,1,164695905.5,NA,3.684210526,1.210526316,13325.26316,1534,2.315789474,1.157894737,45.47368421,3.842105263,6.421052632,2.684210526,3.736842105,3.947368421,2.473684211,3.684210526,0.263157895,334.2708047,20.34544474,17.47082105,9,9334,1693423804,1,164695905.5,NA,3.684210526,1.210526316,13325.26316,54.76398873,-2.655625238,0.376478614,0.336523841,0.383713289,0.120664188,0.154836242,7178.400526,-0.08024868,9512.4825,9705.210142,9896.367972,10097.3996,10297.17977,10505.70925,10714.67277,10930.68141,11148.80417,11372.7035,11600.22579,11832.46087,12069.85604,12310.94021,12558.14336,12808.50467,19.31736874,18.22654921,17.2893257,16.33906858,15.49719332,14.65248979,13.89011061,13.14118428,12.45127955,11.78521976,11.16197875,10.56867717,10.00599145,9.477195466,8.970856605,8.498222392
10,10,10,9513.85,1717182220,1.05,167377556.1,NA,3.7,1.2,13411.5,1487.95,2.25,1.15,49.05,3.1,5.85,3,2.85,3.75,2.1,3.45,0.3,321.7359845,15.641339,10.266921,10,9513.85,1717182220,1.05,167377556.1,NA,3.7,1.2,13411.5,56.78599584,-2.548248089,0.359038639,0.347495,0.384482255,0.121496353,0.15276088,6775.5695,-0.08063945,9696.339375,9892.620255,10087.67361,10292.37613,10496.16422,10708.5441,10921.62185,11141.68372,11364.05106,11592.20917,11824.11816,12060.81956,12302.7446,12548.50219,12800.40737,13055.65403,14.85721687,14.0839642,13.37373752,12.68429138,12.04421781,11.42504728,10.84669233,10.29110958,9.768630679,9.26958637,8.797839474,8.349341856,7.923475335,7.52032589,7.136295905,6.773570149
