,Group.1,Quantile,X,folioviv,foliohog,ubica_geo,ageb,tam_loc,est_socio.x,upm,factor_hog,clase_hog,sexo_jefe.x,edad_jefe,educa_jefe.x,tot_integ.x,hombres,mujeres,mayores,menores,p12_64,p65mas,ing_cor,Energy2014,percep_tot,Quantile.1,Income2014,folioviv.1,foliohog.1,ubica_geo.1,ageb.1,tam_loc.1,est_socio.x.1,upm.1,Intercept,Elasticity_Income_Electricity,Coef_socio,Coef_sexo_jefe,Coef_educa_jefe,Coef_tot_members,Coef_educ_sex_jefe,Income2014,sexo_jefe.educa_jefe,Income2015,Income2016,Income2017,Income2018,Income2019,Income2020,Income2021,Income2022,Income2023,Income2024,Income2025,Income2026,Income2027,Income2028,Income2029,Energy2014,Income2030,Energy2015,Energy2016,Energy2017,Energy2018,Energy2019,Energy2020,Energy2021,Energy2022,Energy2023,Energy2024,Energy2025,Energy2026,Energy2027,Energy2028,Energy2029,Energy2030
1,1,1,7786.95,1440923947,1.1,140695156.8,NA,3.35,1.35,11099.5,1537.15,2.3,1.3,42.85,3.55,7.3,3.75,3.55,4.45,2.85,4.35,0.1,136.8026835,20.0596445,13.9622805,1,7786.95,1440923947,1.1,140695156.8,NA,3.35,1.35,11099.5,20.00244803,-2.724120319,0.357341128,0.332018518,0.382513984,0.128916544,0.128463359,3076.836,-0.080984254,7942.689,8101.54278,8263.573636,8428.845108,8597.42201,8769.370451,8944.75786,9123.653017,9306.126077,9492.248599,9682.093571,9875.735442,10073.25015,10274.71515,10480.20946,2.6068,10689.81365,18.9667468,17.93339279,16.9563384,16.03251628,15.15902621,14.33312598,13.55222279,12.81386508,12.11573488,11.45564048,10.83150962,10.24138292,9.68340773,9.155832375,8.657000595,8.18534637
2,2,2,8712.75,1601260296,1,155116592.8,NA,3.9,1.1,12494.5,1957.3,2.15,1.15,39.7,3.55,6.2,3.1,3.1,3.75,2.45,3.7,0.05,184.829519,17.2121075,13.830544,2,8712.75,1601260296,1,155116592.8,NA,3.9,1.1,12494.5,32.13139816,-2.635980352,0.355789437,0.321752703,0.356361867,0.129320505,0.132215982,4054.287,-0.080716123,8887.005,9064.7451,9246.040002,9430.960802,9619.580018,9811.971618,10008.21105,10208.37527,10412.54278,10620.79363,10833.20951,11049.8737,11270.87117,11496.28859,11726.21436,2.97675,11960.73865,16.30469196,15.445115,14.63085461,13.8595217,13.12885317,12.43670519,11.78104698,11.15995481,10.57160638,10.01427544,9.486326777,8.986211358,8.512461826,8.063688184,7.638573711,7.235871107
3,3,3,7968.736842,1470429743,1,142857914.5,NA,3.631578947,1.105263158,11447.89474,1734.684211,2.421052632,1.157894737,51.21052632,3,6.210526316,3.315789474,2.894736842,3.736842105,2.473684211,3.421052632,0.315789474,213.8922984,14.37363421,21.63693,3,7968.736842,1470429743,1,142857914.5,NA,3.631578947,1.105263158,11447.89474,37.98581753,-2.538775436,0.349791469,0.32964442,0.318828452,0.121458786,0.135541547,4806.718947,-0.076326995,8128.111579,8290.673811,8456.487287,8625.617032,8798.129373,8974.091961,9153.5738,9336.645276,9523.378181,9713.845745,9908.12266,10106.28511,10308.41082,10514.57903,10724.87061,1.856842105,10939.36802,13.64380562,12.95103445,12.29343909,11.66923346,11.0767222,10.51429599,9.980427266,9.473665994,8.992635784,8.536030127,8.102608855,7.691194768,7.300670441,6.929975185,6.57810217,6.244095686
4,4,4,7851.8,1450186711,1,140225029.7,NA,3.8,1.1,11116.5,1452.65,2.25,1.25,40.35,3.15,6.55,3.1,3.45,3.65,2.9,3.55,0.1,254.9253665,13.7977385,16.007026,4,7851.8,1450186711,1,140225029.7,NA,3.8,1.1,11116.5,41.24767057,-2.560660152,0.36191797,0.331823758,0.322663761,0.116762055,0.135259467,5529.2325,-0.077020098,8008.836,8169.01272,8332.392974,8499.040834,8669.021651,8842.402084,9019.250125,9199.635128,9383.62783,9571.300387,9762.726395,9957.980923,10157.14054,10360.28335,10567.48902,0.863625,10778.8388,13.09111212,12.42067433,11.78457182,11.18104615,10.60842896,10.06513733,9.549669413,9.060600254,8.596577893,8.156319604,7.738608352,7.342289431,6.966267272,6.609502411,6.271008622,5.949850185
5,5,5,6254.95,1189856165,1,113977123.2,NA,3.75,1.15,9068.5,1662.55,2.3,1.15,41.6,2.6,5.85,3.2,2.65,3.4,2.45,3.3,0.1,254.802205,20.6413725,10.958605,5,6254.95,1189856165,1,113977123.2,NA,3.75,1.15,9068.5,45.47714586,-2.593480669,0.370855181,0.321860025,0.347984007,0.114435569,0.139033302,5423.69,-0.075611993,6380.049,6507.64998,6637.80298,6770.559039,6905.97022,7044.089624,7184.971417,7328.670845,7475.244262,7624.749147,7777.24413,7932.789013,8091.444793,8253.273689,8418.339163,2.02125,8586.705946,19.57071249,18.5555872,17.59311606,16.68056794,15.81535333,14.99501706,14.21723133,13.47978903,12.78059759,12.11767293,11.48913392,10.89319699,10.32817107,9.792452832,9.284522089,8.802937518
6,6,6,8952.473684,1625691081,1.157894737,158505841.3,NA,3.842105263,1.210526316,12682.10526,1409.263158,2.157894737,1.105263158,48.47368421,3.157894737,5.842105263,3.052631579,2.789473684,3.526315789,2.315789474,3.157894737,0.368421053,260.9468437,19.95496632,22.63634947,6,8952.473684,1625691081,1.157894737,158505841.3,NA,3.842105263,1.210526316,12682.10526,48.44412832,-2.645033534,0.379145311,0.323387652,0.354372062,0.110680109,0.145437389,5787.412105,-0.074004375,9131.523158,9314.153621,9500.436693,9690.445427,9884.254336,10081.93942,10283.57821,10489.24978,10699.03477,10913.01547,11131.27578,11353.90129,11580.97932,11812.5989,12048.85088,1.817332632,12289.8279,18.89933521,17.89954771,16.95264963,16.05584309,15.20647822,14.40204533,13.64016747,12.91859346,12.2351912,11.58794138,10.97493151,10.39435027,9.844482173,9.323702464,8.83047235,8.36333444
7,7,7,10862.4,1934179335,1.05,189223022,NA,3.75,1.2,15307.5,1589.3,2.25,1.05,45.25,3.05,5.95,2.55,3.4,3.8,2.15,3.65,0.15,295.7620645,26.04791,6.280134,7,10862.4,1934179335,1.05,189223022,NA,3.75,1.2,15307.5,50.73757603,-2.741331924,0.388490984,0.324703458,0.37313847,0.120784905,0.155178133,6164.1265,-0.079242876,11079.648,11301.24096,11527.26578,11757.81109,11992.96732,12232.82666,12477.4832,12727.03286,12981.57352,13241.20499,13506.02909,13776.14967,14051.67266,14332.70612,14619.36024,1.534925,14911.74744,24.61979066,23.26997029,21.99415604,20.7882904,19.64853832,18.57127501,17.55307443,16.59069837,15.68108614,14.8213449,14.00874038,13.24068824,12.51474581,11.82860437,11.18008175,10.56711545
8,8,8,5661.4,1082115471,1,103378089.1,NA,3.65,1.2,8211.5,1487.5,2.35,1.2,42.7,3.75,5.7,2.85,2.85,3.3,2.4,3.05,0.25,287.336686,16.3903285,13.1343275,8,5661.4,1082115471,1,103378089.1,NA,3.65,1.2,8211.5,52.68525226,-2.684357092,0.376982044,0.329676119,0.391189587,0.127863388,0.154105611,6132.0615,-0.084255664,5774.628,5890.12056,6007.922971,6128.081431,6250.643059,6375.65592,6503.169039,6633.23242,6765.897068,6901.215009,7039.23931,7180.024096,7323.624578,7470.097069,7619.499011,1.76155,7771.888991,15.51037861,14.67767071,13.88966852,13.14397192,12.43830963,11.77053234,11.1386061,10.54060618,9.974711157,9.439197424,8.932433893,8.452877048,7.999066239,7.569619235,7.163228013,6.778654775
9,9,9,9334,1693423804,1,164695905.5,NA,3.684210526,1.210526316,13325.26316,1534,2.315789474,1.157894737,45.47368421,3.842105263,6.421052632,2.684210526,3.736842105,3.947368421,2.473684211,3.684210526,0.263157895,334.2708047,20.34544474,17.47082105,9,9334,1693423804,1,164695905.5,NA,3.684210526,1.210526316,13325.26316,54.76398873,-2.655625238,0.376478614,0.336523841,0.383713289,0.120664188,0.154836242,7178.400526,-0.08024868,9520.68,9711.0936,9905.315472,10103.42178,10305.49022,10511.60002,10721.83202,10936.26866,11154.99404,11378.09392,11605.65579,11837.76891,12074.52429,12316.01477,12562.33507,5.402894737,12813.58177,19.26484721,18.24164292,17.27278357,16.35538277,15.48670743,14.66416961,13.88531883,13.14783477,12.44952033,11.78829512,11.16218924,10.56933741,10.00797343,9.476424892,8.97310823,8.496523976
10,10,10,9513.85,1717182220,1.05,167377556.1,NA,3.7,1.2,13411.5,1487.95,2.25,1.15,49.05,3.1,5.85,3,2.85,3.75,2.1,3.45,0.3,321.7359845,15.641339,10.266921,10,9513.85,1717182220,1.05,167377556.1,NA,3.7,1.2,13411.5,56.78599584,-2.548248089,0.359038639,0.347495,0.384482255,0.121496353,0.15276088,6775.5695,-0.08063945,9704.127,9898.20954,10096.17373,10298.09721,10504.05915,10714.14033,10928.42314,11146.9916,11369.93143,11597.33006,11829.27666,12065.8622,12307.17944,12553.32303,12804.38949,2.401,13060.47728,14.84417876,14.08764575,13.36966943,12.68828473,12.04162679,11.42792574,10.84550194,10.29276135,9.768191159,9.27035567,8.797892348,8.3495081,7.923975739,7.520130618,7.136867449,6.773137272
